step,Train Loss,Train Accuracy,Train Perplexity,Validation Loss,Validation Accuracy,Validation Perplexity,Epoch Duration
0,3.1807684898376465,0.26523202657699585,24.065242767333984,2.1492063999176025,0.35003334283828735,8.578047752380371,63.521690368652344
1,2.0796563625335693,0.3527301251888275,8.001718521118164,1.7000797986984253,0.3941725790500641,5.474384307861328,66.49559783935547
2,1.7554411888122559,0.3841117322444916,5.785999774932861,1.5082147121429443,0.4158100485801697,4.5186567306518555,66.4725341796875
3,1.5800137519836426,0.40041252970695496,4.85502290725708,1.3842175006866455,0.42972105741500854,3.991701126098633,66.48588562011719
4,1.4642564058303833,0.41371452808380127,4.324326515197754,1.3165757656097412,0.4383319020271301,3.7306249141693115,66.51274871826172
5,1.3805214166641235,0.42146116495132446,3.9769747257232666,1.2723650932312012,0.44293445348739624,3.569284439086914,66.76828002929688
6,1.3167530298233032,0.42950767278671265,3.7312862873077393,1.221177339553833,0.44896310567855835,3.3911778926849365,64.65811157226562
7,1.262150764465332,0.4351223409175873,3.5330119132995605,1.1877553462982178,0.4533649981021881,3.2797112464904785,67.71018981933594
8,1.2180429697036743,0.4400685429573059,3.380565643310547,1.1651475429534912,0.45647501945495605,3.2063958644866943,66.49658966064453
9,1.1799676418304443,0.4443310499191284,3.2542688846588135,1.138122320175171,0.4599740207195282,3.1209027767181396,66.23529815673828
10,1.1462799310684204,0.4473612606525421,3.146466016769409,1.1116844415664673,0.4633880853652954,3.03947377204895,65.72673034667969
11,1.1153274774551392,0.4506932199001312,3.0505669116973877,1.0974143743515015,0.46498554944992065,2.996408462524414,65.45475769042969
12,1.088688850402832,0.45388272404670715,2.970376968383789,1.0831259489059448,0.4677791893482208,2.9538989067077637,65.66693115234375
13,1.0672651529312134,0.45615074038505554,2.9074172973632812,1.078091025352478,0.4683842062950134,2.939063310623169,65.62513732910156
14,1.0431536436080933,0.4595939517021179,2.83815336227417,1.0652071237564087,0.47072097659111023,2.901439905166626,65.6328353881836
15,1.0257339477539062,0.4606928527355194,2.7891416549682617,1.0475479364395142,0.4721486568450928,2.8506524562835693,65.59147644042969
16,1.006984829902649,0.463267058134079,2.737334966659546,1.039969563484192,0.4733000695705414,2.8291311264038086,65.68318176269531
17,0.9900021553039551,0.46577534079551697,2.6912403106689453,1.0270788669586182,0.47429248690605164,2.7928953170776367,64.11540222167969
18,0.9779329299926758,0.4668543040752411,2.658954381942749,1.0233699083328247,0.4754408001899719,2.7825560569763184,60.78760528564453
19,0.9632452130317688,0.46811753511428833,2.6201858520507812,1.0102506875991821,0.47659993171691895,2.7462892532348633,60.33524703979492
20,0.9500759243965149,0.46928057074546814,2.5859060287475586,1.007290244102478,0.47795814275741577,2.738171100616455,60.258934020996094
