step,Train Loss,Train Accuracy,Train Perplexity,Validation Loss,Validation Accuracy,Validation Perplexity,Epoch Duration
0,3.074502944946289,0.2615589201450348,21.63912582397461,2.4336860179901123,0.3091322183609009,11.400829315185547,72.36248779296875
1,2.5228219032287598,0.2936533987522125,12.463719367980957,2.45369553565979,0.29699307680130005,11.631250381469727,71.44861602783203
2,2.4294984340667725,0.2980407774448395,11.35318660736084,2.3306751251220703,0.31219902634620667,10.284883499145508,71.28117370605469
3,2.294675350189209,0.31105154752731323,9.921216011047363,2.2612245082855225,0.3188759386539459,9.594831466674805,71.16100311279297
4,2.212087392807007,0.317666620016098,9.134763717651367,2.2021570205688477,0.3237779140472412,9.044502258300781,71.20624542236328
5,2.147655963897705,0.324157178401947,8.564759254455566,2.1824803352355957,0.3267999589443207,8.86827564239502,72.87709045410156
6,2.1082844734191895,0.3263969123363495,8.234103202819824,2.138655424118042,0.331138551235199,8.488017082214355,71.78233337402344
7,2.0636489391326904,0.33036914467811584,7.8746514320373535,2.122805595397949,0.33353090286254883,8.354543685913086,71.60735321044922
8,2.019411325454712,0.3357662558555603,7.533888339996338,2.095263719558716,0.33742499351501465,8.127583503723145,71.7926254272461
9,1.9892363548278809,0.33824849128723145,7.3099493980407715,2.0845932960510254,0.3392045795917511,8.041319847106934,71.47877502441406
10,1.9555540084838867,0.3420892059803009,7.06783390045166,2.0732555389404297,0.3395117223262787,7.950665473937988,72.55680847167969
11,1.927199125289917,0.34445250034332275,6.870240688323975,2.0627479553222656,0.34172964096069336,7.867559432983398,71.1851577758789
12,1.9024418592453003,0.34695324301719666,6.702240467071533,2.049513816833496,0.34376850724220276,7.764125347137451,72.60484313964844
13,1.87848699092865,0.3501368463039398,6.543597221374512,2.022156238555908,0.3462117910385132,7.554597854614258,72.36328125
14,1.8535469770431519,0.3515888750553131,6.38241720199585,2.0166313648223877,0.34713783860206604,7.512973785400391,72.92013549804688
15,1.835500717163086,0.35352078080177307,6.2682719230651855,2.0264053344726562,0.3468245267868042,7.586764812469482,72.81608581542969
16,1.8176454305648804,0.3554248809814453,6.15734338760376,2.01359486579895,0.3486056625843048,7.490194797515869,72.8225326538086
17,1.804564356803894,0.35625848174095154,6.0773234367370605,2.0138561725616455,0.34916746616363525,7.492152214050293,72.9903564453125
18,1.7868688106536865,0.3579820990562439,5.970727920532227,2.0020623207092285,0.35020002722740173,7.4043097496032715,72.83843231201172
19,1.7739144563674927,0.3598750829696655,5.8938798904418945,2.009507656097412,0.3504500687122345,7.459644317626953,72.82423400878906
20,1.7592469453811646,0.36060261726379395,5.8080620765686035,1.995521903038025,0.35215556621551514,7.356040954589844,71.45366668701172
21,1.7518210411071777,0.36133167147636414,5.765091419219971,2.036909818649292,0.3489128053188324,7.666881084442139,72.82764434814453
22,1.7407149076461792,0.3626388609409332,5.701417922973633,2.003835678100586,0.351995050907135,7.417452812194824,72.87481689453125
23,1.7256771326065063,0.36459672451019287,5.6163225173950195,1.9914547204971313,0.3529241979122162,7.326183795928955,72.8393325805664
24,1.7156285047531128,0.36563605070114136,5.560168743133545,1.987343430519104,0.3535662591457367,7.296125411987305,72.81118774414062
25,1.7030593156814575,0.36652177572250366,5.490719318389893,1.9811517000198364,0.35475626587867737,7.251089096069336,71.75312042236328
26,1.7009387016296387,0.366436630487442,5.479087829589844,1.9760334491729736,0.35463741421699524,7.214071273803711,72.63516235351562
27,1.681687355041504,0.3683765232563019,5.374617576599121,1.9745044708251953,0.35566380620002747,7.203049182891846,72.86271667480469
28,1.673495888710022,0.3689490556716919,5.330771446228027,1.9743822813034058,0.3556745946407318,7.202168941497803,72.9083023071289
29,1.6651124954223633,0.3696445822715759,5.2862677574157715,1.9814749956130981,0.3556792438030243,7.253434181213379,72.95906066894531
30,1.657393217086792,0.37139347195625305,5.24561882019043,1.974661946296692,0.3575390875339508,7.204184055328369,72.6776351928711
31,1.6544320583343506,0.3711811900138855,5.230108737945557,1.973547339439392,0.35613763332366943,7.196158409118652,72.85417175292969
32,1.6477974653244019,0.3720870614051819,5.195523738861084,1.9720001220703125,0.3565528094768524,7.185033321380615,72.12037658691406
33,1.6366615295410156,0.3721967041492462,5.137988090515137,1.9702415466308594,0.357796847820282,7.172408580780029,72.86637878417969
34,1.6271754503250122,0.3737923800945282,5.089478969573975,1.9669463634490967,0.35857319831848145,7.148813247680664,72.95677185058594
35,1.6358323097229004,0.37311726808547974,5.133729457855225,1.9842244386672974,0.35797587037086487,7.273404598236084,71.2193832397461
36,1.6334284543991089,0.3734082579612732,5.121403217315674,1.9898794889450073,0.35753753781318665,7.314652442932129,72.81504821777344
37,1.6400738954544067,0.37285077571868896,5.155550479888916,1.9700508117675781,0.35806384682655334,7.171041011810303,72.80807495117188
38,1.6274601221084595,0.374304860830307,5.090928077697754,1.9775428771972656,0.35671180486679077,7.224968433380127,71.47874450683594
39,1.6111053228378296,0.3765360713005066,5.0083441734313965,1.9744030237197876,0.3590146005153656,7.20231819152832,72.70391082763672
40,1.6026760339736938,0.3765539824962616,4.966304302215576,1.97401762008667,0.35884636640548706,7.1995439529418945,72.91004943847656
41,1.6010668277740479,0.3765939176082611,4.958319187164307,1.988324761390686,0.358094722032547,7.30328893661499,72.83415222167969
42,1.596582293510437,0.37666112184524536,4.93613338470459,1.9818761348724365,0.35900071263313293,7.256344318389893,72.9444808959961
43,1.5884199142456055,0.3776288628578186,4.8960065841674805,1.971062183380127,0.35990670323371887,7.17829704284668,73.00602722167969
44,1.591562271118164,0.3772490918636322,4.911416053771973,1.970663070678711,0.3594869077205658,7.1754326820373535,73.01779174804688
45,1.5797206163406372,0.37937629222869873,4.853599548339844,1.9773778915405273,0.3593587875366211,7.223776340484619,72.75846862792969
46,1.5764691829681396,0.3791859447956085,4.837844371795654,1.9723104238510132,0.35994067788124084,7.187263488769531,71.70433044433594
47,1.5744901895523071,0.3791290521621704,4.828279495239258,1.9699077606201172,0.3600795865058899,7.170015335083008,72.86691284179688
48,1.5673606395721436,0.3798379898071289,4.793978214263916,1.990850567817688,0.3595069646835327,7.32175874710083,72.75479125976562
49,1.5644649267196655,0.38001808524131775,4.780116558074951,1.9819682836532593,0.35896676778793335,7.257012367248535,72.64116668701172
50,1.5635956525802612,0.3805542290210724,4.775962829589844,1.9633561372756958,0.3608574867248535,7.123193264007568,72.7052993774414
51,1.554182767868042,0.3811820447444916,4.7312188148498535,1.9671670198440552,0.3610936105251312,7.150391101837158,72.66087341308594
52,1.547511339187622,0.38302457332611084,4.699759483337402,1.9746664762496948,0.36060744524002075,7.204216480255127,72.3592300415039
53,1.5510170459747314,0.3816012740135193,4.716264724731445,1.971453309059143,0.36241015791893005,7.181105136871338,71.00736236572266
54,1.5411993265151978,0.3831727206707001,4.670187950134277,1.9731181859970093,0.361226350069046,7.193070411682129,72.46188354492188
55,1.5395509004592896,0.3826647400856018,4.6624956130981445,1.972278356552124,0.36103034019470215,7.187032222747803,71.357421875
56,1.5333442687988281,0.38392046093940735,4.6336469650268555,1.964433193206787,0.36225736141204834,7.1308698654174805,72.73381042480469
57,1.5338596105575562,0.3836156129837036,4.636035919189453,1.9738407135009766,0.36206597089767456,7.198269367218018,72.84187316894531
58,1.5279719829559326,0.3842243552207947,4.60882043838501,1.967930555343628,0.36161530017852783,7.155852794647217,72.40008544921875
59,1.5321635007858276,0.38473886251449585,4.62817907333374,1.9858640432357788,0.3613884150981903,7.28533935546875,72.57776641845703
60,1.5370198488235474,0.3842003047466278,4.650709629058838,1.955428123474121,0.3623376190662384,7.066943645477295,72.7680892944336
61,1.5181968212127686,0.3854433000087738,4.563987731933594,1.9847733974456787,0.3601536750793457,7.277398586273193,73.00676727294922
62,1.530684471130371,0.3839723765850067,4.621338844299316,1.9697612524032593,0.3617619276046753,7.168964385986328,72.93540954589844
63,1.5141364336013794,0.38628727197647095,4.545494079589844,1.970695972442627,0.36269262433052063,7.175668716430664,73.22451782226562
64,1.5116662979125977,0.38590532541275024,4.534279823303223,1.970451831817627,0.3639320135116577,7.173916816711426,71.87764739990234
65,1.509879231452942,0.3864153325557709,4.52618408203125,1.9749882221221924,0.362620085477829,7.2065348625183105,73.09505462646484
66,1.5011448860168457,0.38660746812820435,4.486823081970215,1.976619005203247,0.362170934677124,7.218296527862549,71.65763854980469
67,1.4997719526290894,0.386949360370636,4.4806671142578125,1.9771020412445068,0.36258459091186523,7.2217841148376465,72.3095932006836
68,1.4996438026428223,0.38763701915740967,4.480092525482178,1.9903208017349243,0.361541211605072,7.317880630493164,72.0591049194336
69,1.5069670677185059,0.3866443932056427,4.513022422790527,1.9829175472259521,0.3626694679260254,7.263905048370361,72.43780517578125
70,1.5027670860290527,0.38790228962898254,4.494107246398926,1.9701709747314453,0.3642514944076538,7.171902179718018,71.99981689453125
71,1.495375633239746,0.38841333985328674,4.46101188659668,1.9734300374984741,0.3645385801792145,7.195314407348633,72.53401947021484
72,1.4854848384857178,0.3886691927909851,4.417106628417969,1.9665958881378174,0.3636186718940735,7.146308422088623,72.38986206054688
73,1.4842884540557861,0.38878190517425537,4.411825180053711,1.9800256490707397,0.36347976326942444,7.242928981781006,73.202392578125
74,1.4852590560913086,0.389518141746521,4.416109085083008,1.988930344581604,0.3626108169555664,7.307712554931641,71.97679138183594
75,1.4922899007797241,0.3879581689834595,4.447267532348633,1.9873452186584473,0.36248424649238586,7.296138763427734,72.08294677734375
76,1.4918243885040283,0.3883535861968994,4.445198059082031,1.9778467416763306,0.3624487519264221,7.227164268493652,71.4029769897461
77,1.484223484992981,0.3892401456832886,4.411538600921631,1.9815092086791992,0.3633115291595459,7.253681659698486,71.05975341796875
78,1.4852300882339478,0.39022698998451233,4.415981292724609,1.9761708974838257,0.3638085126876831,7.215062618255615,71.15538787841797
79,1.4802136421203613,0.38979896903038025,4.393884181976318,1.9840644598007202,0.36315566301345825,7.272241115570068,71.61309051513672
80,1.4768309593200684,0.3906283378601074,4.3790459632873535,1.978675365447998,0.36433330178260803,7.233154773712158,71.19905853271484
81,1.4733413457870483,0.39021533727645874,4.3637919425964355,1.9835662841796875,0.36374834179878235,7.268618583679199,72.77360534667969
82,1.477964162826538,0.3896796703338623,4.384011745452881,1.9740781784057617,0.3647623658180237,7.199979782104492,72.39339447021484
83,1.464608073234558,0.3921741843223572,4.325847148895264,1.9933255910873413,0.3627883195877075,7.339903354644775,72.85539245605469
84,1.4674370288848877,0.3908812701702118,4.338102340698242,1.9807461500167847,0.3644968867301941,7.2481489181518555,72.76519012451172
85,1.4629452228546143,0.39225122332572937,4.318660259246826,1.9633660316467285,0.3655202090740204,7.123264312744141,72.91499328613281
86,1.4498335123062134,0.3934975266456604,4.262404918670654,1.9727123975753784,0.3650880455970764,7.190152645111084,72.92247772216797
87,1.4501227140426636,0.3933212459087372,4.263638019561768,1.9727537631988525,0.365512490272522,7.1904497146606445,73.04533386230469
88,1.4584704637527466,0.39230552315711975,4.299378871917725,1.977677583694458,0.364706814289093,7.2259416580200195,73.16162872314453
89,1.4511884450912476,0.39333853125572205,4.268184185028076,1.976755976676941,0.36506178975105286,7.219285488128662,73.19783782958984
90,1.4635233879089355,0.3914678692817688,4.321157932281494,1.9725384712219238,0.36687996983528137,7.188902378082275,73.14769744873047
91,1.4383606910705566,0.3947478234767914,4.21378231048584,1.9741259813308716,0.36598169803619385,7.200324058532715,73.14324188232422
92,1.43855619430542,0.3938485383987427,4.214606285095215,1.9775331020355225,0.36586901545524597,7.224897861480713,73.19190216064453
93,1.4439491033554077,0.3936367928981781,4.237396717071533,1.9720505475997925,0.36584895849227905,7.185395240783691,73.07914733886719
94,1.4377801418304443,0.3945172429084778,4.211337089538574,1.9738906621932983,0.3664771318435669,7.198628902435303,73.09190368652344
95,1.4354634284973145,0.39489680528640747,4.201591968536377,1.9704649448394775,0.3664509057998657,7.17401123046875,73.12921905517578
96,1.4368723630905151,0.39447325468063354,4.207515716552734,1.9792295694351196,0.36639225482940674,7.237165451049805,73.1226577758789
97,1.433489203453064,0.39506423473358154,4.193305015563965,1.9732565879821777,0.36641693115234375,7.194066524505615,73.0647964477539
98,1.4901502132415771,0.3894105553627014,4.437762260437012,1.9683969020843506,0.36678117513656616,7.1591901779174805,72.05073547363281
99,1.4242278337478638,0.39564937353134155,4.154648780822754,1.979505181312561,0.365495502948761,7.239160537719727,73.03430938720703
