step,Train Loss,Train Accuracy,Train Perplexity,Validation Loss,Validation Accuracy,Validation Perplexity,Epoch Duration
0,2.55212140083313,0.32808175683021545,12.834301948547363,1.6490038633346558,0.4022772014141083,5.2017951011657715,65.81394958496094
1,1.3801287412643433,0.4287351369857788,3.9754135608673096,1.344501256942749,0.4337787628173828,3.8362724781036377,65.78497314453125
2,1.0979355573654175,0.45521560311317444,2.9979705810546875,1.2291078567504883,0.4461262822151184,3.4181785583496094,63.7367057800293
3,0.9499025940895081,0.4709288775920868,2.5854578018188477,1.1701312065124512,0.4529251158237457,3.2224154472351074,64.20504760742188
4,0.8499773740768433,0.48220935463905334,2.3395938873291016,1.1538279056549072,0.45623117685317993,3.1703054904937744,60.81928253173828
5,0.7830724120140076,0.4886532425880432,2.188184976577759,1.1285139322280884,0.4615236222743988,3.091059684753418,65.33708953857422
6,0.7270848751068115,0.4952462315559387,2.069040298461914,1.111576795578003,0.4638110101222992,3.039146661758423,61.001976013183594
7,0.6844743490219116,0.49959686398506165,1.9827293157577515,1.1044509410858154,0.46487441658973694,3.0175671577453613,64.72537231445312
8,0.6483901739120483,0.5034447908401489,1.9124596118927002,1.0910372734069824,0.4678254723548889,2.977360963821411,65.71980285644531
9,0.617730438709259,0.5067597031593323,1.8547139167785645,1.101256251335144,0.46780696511268616,3.0079421997070312,64.8078842163086
10,0.5932319164276123,0.510611891746521,1.809828281402588,1.099395513534546,0.46857866644859314,3.0023505687713623,65.26400756835938
11,0.5689885020256042,0.5130085349082947,1.7664793729782104,1.0975427627563477,0.4693426787853241,2.996793270111084,64.52691650390625
12,0.5484697818756104,0.5151433944702148,1.730602741241455,1.0953713655471802,0.4704740345478058,2.990293025970459,60.35331344604492
13,0.5308199524879456,0.5177361965179443,1.7003259658813477,1.0998566150665283,0.47058361768722534,3.0037355422973633,59.44235610961914
14,0.5124788880348206,0.5206089019775391,1.6694244146347046,1.1035985946655273,0.4711407721042633,3.014996290206909,60.87507247924805
15,0.4996628165245056,0.5209926962852478,1.6481654644012451,1.0959815979003906,0.4726024270057678,2.9921183586120605,60.201236724853516
16,0.4842870831489563,0.5232255458831787,1.6230175495147705,1.0993517637252808,0.4731055796146393,3.0022194385528564,65.12091827392578
17,0.4736066162586212,0.5247915983200073,1.6057751178741455,1.1109641790390015,0.47292500734329224,3.037285327911377,60.625728607177734
18,0.4610309898853302,0.5279004573822021,1.5857080221176147,1.1078530550003052,0.47414740920066833,3.027850866317749,60.909690856933594
19,0.4480534493923187,0.5284168124198914,1.5652623176574707,1.1190334558486938,0.4737306833267212,3.0618932247161865,62.99271011352539
20,0.43782535195350647,0.530876636505127,1.5493342876434326,1.1178141832351685,0.4740794897079468,3.0581624507904053,65.55294036865234
21,0.4374590516090393,0.5301392674446106,1.548766851425171,1.1107574701309204,0.4742816984653473,3.0366578102111816,66.31266021728516
22,0.4198054373264313,0.5333612561225891,1.5216654539108276,1.1159770488739014,0.4748481214046478,3.052549123764038,63.034969329833984
23,0.4099969267845154,0.5335106253623962,1.5068131685256958,1.1267485618591309,0.47497624158859253,3.0856075286865234,60.59309005737305
24,0.4069901406764984,0.5344465970993042,1.5022892951965332,1.1224806308746338,0.47557663917541504,3.0724661350250244,60.29299545288086
25,0.405215859413147,0.5348117351531982,1.4996261596679688,1.1265074014663696,0.47492992877960205,3.0848634243011475,59.49153518676758
26,0.3904368579387665,0.5357641577720642,1.4776262044906616,1.135176181793213,0.47490987181663513,3.1117217540740967,60.605751037597656
27,0.38110411167144775,0.5384114384651184,1.4638999700546265,1.1359926462173462,0.47665858268737793,3.1142632961273193,59.726539611816406
28,0.37754637002944946,0.5375114679336548,1.4587011337280273,1.1343438625335693,0.4765736758708954,3.109132766723633,60.88746643066406
29,0.37039414048194885,0.5390253663063049,1.448305368423462,1.1453825235366821,0.4758776128292084,3.143643856048584,65.31611633300781
30,0.3780336081981659,0.5384216904640198,1.4594119787216187,1.1464251279830933,0.474417507648468,3.1469228267669678,60.205482482910156
31,0.3694280982017517,0.5383101105690002,1.4469069242477417,1.1386829614639282,0.47613999247550964,3.122652769088745,60.94115447998047
32,0.35627806186676025,0.5408533215522766,1.428004503250122,1.156854510307312,0.47623875737190247,3.179914951324463,60.547061920166016
33,0.35282784700393677,0.5423372387886047,1.423086166381836,1.1664371490478516,0.4756290912628174,3.210533618927002,60.58726119995117
34,0.34506985545158386,0.5427566170692444,1.4120885133743286,1.162122130393982,0.47575876116752625,3.1967101097106934,60.421241760253906
35,0.33953166007995605,0.5426698923110962,1.404289722442627,1.1656806468963623,0.47549790143966675,3.2081055641174316,62.08184051513672
36,0.3367944359779358,0.544437825679779,1.4004511833190918,1.1707619428634644,0.4752509593963623,3.2244484424591064,60.54737854003906
37,0.331643670797348,0.5447797775268555,1.3932563066482544,1.1759039163589478,0.4764934182167053,3.2410714626312256,60.312503814697266
38,0.3240613341331482,0.5450493097305298,1.3827321529388428,1.172239899635315,0.47621098160743713,3.229217529296875,59.628517150878906
39,0.3229515254497528,0.5453887581825256,1.3811984062194824,1.1638240814208984,0.4777081310749054,3.202155113220215,60.37351989746094
40,0.3164680004119873,0.5468337535858154,1.3722723722457886,1.1781213283538818,0.47744110226631165,3.2482662200927734,60.69099426269531
41,0.3863144516944885,0.539969265460968,1.4715473651885986,2.1079275608062744,0.3479141891002655,8.231164932250977,60.53452682495117
42,0.4586348235607147,0.5291180610656738,1.581912875175476,1.1695305109024048,0.4732830822467804,3.220480442047119,59.83359146118164
43,0.332511305809021,0.5452063083648682,1.394465684890747,1.16974937915802,0.47667092084884644,3.2211852073669434,60.59410858154297
44,0.30971503257751465,0.548066258430481,1.3630366325378418,1.1796776056289673,0.4775923490524292,3.2533252239227295,59.764095306396484
45,0.3361576795578003,0.5455448031425476,1.399559736251831,1.2004138231277466,0.47477713227272034,3.321491241455078,60.25738525390625
46,0.328860878944397,0.544948935508728,1.3893845081329346,1.1861025094985962,0.477095365524292,3.274294853210449,59.921207427978516
47,0.3031059801578522,0.5484548807144165,1.3540579080581665,1.1878893375396729,0.4764394164085388,3.2801506519317627,60.70372009277344
48,0.2988344132900238,0.5504547357559204,1.3482863903045654,1.1824640035629272,0.47756150364875793,3.2624027729034424,60.7008056640625
49,0.29566290974617004,0.5497504472732544,1.3440170288085938,1.2038511037826538,0.47665703296661377,3.332927703857422,60.84280014038086
50,0.3451206684112549,0.5440386533737183,1.4121602773666382,1.1809272766113281,0.47733306884765625,3.2573933601379395,59.907535552978516
51,0.29746589064598083,0.5485921502113342,1.346442461013794,1.1837347745895386,0.47735002636909485,3.2665512561798096,60.18473815917969
52,0.29462555050849915,0.5496853590011597,1.3426234722137451,1.1937613487243652,0.4767465591430664,3.299468517303467,59.82966613769531
53,0.28704479336738586,0.551064670085907,1.3324838876724243,1.2032777070999146,0.4769132435321808,3.331017255783081,60.27988052368164
54,0.28859564661979675,0.5514068603515625,1.3345519304275513,1.207955002784729,0.4753574728965759,3.3466339111328125,60.73409652709961
