step,Train Loss,Train Accuracy,Train Perplexity,Validation Loss,Validation Accuracy,Validation Perplexity,Epoch Duration
0,3.182145357131958,0.2742045223712921,24.098398208618164,2.179109573364258,0.35003024339675903,8.838433265686035,58.64175033569336
1,1.8592467308044434,0.3818328380584717,6.4188995361328125,1.721470832824707,0.39531782269477844,5.592748165130615,56.89948272705078
2,1.5012915134429932,0.4150320291519165,4.487481117248535,1.5468621253967285,0.41361990571022034,4.696709632873535,58.07454299926758
3,1.313609004020691,0.4343254268169403,3.719573497772217,1.4476794004440308,0.42411530017852783,4.253232955932617,62.82257843017578
4,1.1906954050064087,0.44671830534935,3.289367914199829,1.3907029628753662,0.43086785078048706,4.017673015594482,63.390838623046875
5,1.101963758468628,0.4557473063468933,3.0100715160369873,1.3468817472457886,0.43692275881767273,3.8454158306121826,63.16650390625
6,1.0331960916519165,0.46259257197380066,2.810032606124878,1.3208147287368774,0.440807580947876,3.7464723587036133,54.65211868286133
7,0.9778288006782532,0.4678189158439636,2.658677339553833,1.3040459156036377,0.4428912401199341,3.6841723918914795,56.565528869628906
8,0.9329618811607361,0.47249701619148254,2.542027235031128,1.2896960973739624,0.44505205750465393,3.6316826343536377,56.38858413696289
9,0.8941827416419983,0.4763580560684204,2.4453365802764893,1.2834827899932861,0.44580525159835815,3.6091880798339844,57.77922439575195
10,0.8612581491470337,0.48107272386550903,2.366135597229004,1.2772210836410522,0.4478965997695923,3.5866589546203613,55.74330139160156
11,0.831209659576416,0.4832320511341095,2.2960946559906006,1.2727868556976318,0.44776850938796997,3.5707900524139404,55.964378356933594
12,0.806781530380249,0.48670387268066406,2.240684747695923,1.2692816257476807,0.44963914155960083,3.558295488357544,54.56735610961914
13,0.7829038500785828,0.48845869302749634,2.1878161430358887,1.2674716711044312,0.44975027441978455,3.551860809326172,56.14900588989258
14,0.7616413831710815,0.4917350113391876,2.1417887210845947,1.2623425722122192,0.45082294940948486,3.5336897373199463,55.60451889038086
15,0.7427897453308105,0.4923818111419678,2.1017909049987793,1.2655491828918457,0.4523617625236511,3.545039176940918,54.729286193847656
16,0.7255801558494568,0.4960455894470215,2.065929412841797,1.2571632862091064,0.4525315463542938,3.515434980392456,56.18784713745117
17,0.7090943455696106,0.4962764084339142,2.0321500301361084,1.2699809074401855,0.4519897997379303,3.5607848167419434,55.32624053955078
18,0.6955052018165588,0.498840868473053,2.0047216415405273,1.2727044820785522,0.45269516110420227,3.57049560546875,56.15449905395508
19,0.6815329194068909,0.5002264976501465,1.9769058227539062,1.2769722938537598,0.45218425989151,3.585766553878784,56.16633605957031
20,0.6694679260253906,0.5019024014472961,1.9531978368759155,1.272714376449585,0.453145831823349,3.5705313682556152,56.135372161865234
21,0.658850908279419,0.5035970211029053,1.9325703382492065,1.273050308227539,0.45352551341056824,3.5717310905456543,56.22008514404297
22,0.6451038122177124,0.5044057965278625,1.9061849117279053,1.2753496170043945,0.45463061332702637,3.5799529552459717,56.1776123046875
23,0.6353800296783447,0.505890429019928,1.8877394199371338,1.2891080379486084,0.45383885502815247,3.6295478343963623,54.7431755065918
